character,pinyin,definition,hsk_level
你好,nǐhǎo,hello,1
我们,wǒmen,we; us,1
你们,nǐmen,you (plural),1
他们,tāmen,they; them,1
谢谢,xièxie,to thank; thanks,1
再见,zàijiàn,goodbye,1
汉语,hànyǔ,Chinese language,1
喜欢,xǐhuan,to like,1
漂亮,piàoliang,pretty; beautiful,1
认识,rènshi,to know; to recognize,1
高兴,gāoxìng,happy; glad,1
怎么样,zěnmeyàng,how about; how,1
为什么,wèishénme,why,1
觉得,juéde,to think; to feel,2
知道,zhīdào,to know; to be aware of,2
医生,yīshēng,doctor,1
老师,lǎoshī,teacher,1
学生,xuéshēng,student,1
电脑,diànnǎo,computer,1
电视,diànshì,television,1
电影,diànyǐng,movie; film,1
中国,zhōngguó,China,1
北京,běijīng,Beijing,1
准备,zhǔnbèi,to prepare; preparation,2
运动,yùndòng,sports; exercise,2
唱歌,chànggē,to sing,1
跳舞,tiàowǔ,to dance,2
旅游,lǚyóu,to travel,2
帮助,bāngzhù,to help,2
决定,juédìng,to decide; decision,3
希望,xīwàng,to hope; hope,2
欢迎,huānyíng,to welcome,2
感谢,gǎnxiè,to thank; grateful,3
比较,bǐjiào,relatively; to compare,3
经常,jīngcháng,often; frequently,3
一直,yīzhí,straight; constantly; always,3
总是,zǒngshì,always,3
突然,tūrán,suddenly; unexpected,3
特别,tèbié,special; especially,3
非常,fēicháng,very; extremely,1
已经,yǐjīng,already,2
介绍,jièshào,to introduce,2
习惯,xíguàn,habit; to be used to,3
关系,guānxi,relation; connection,3
语法,yǔfǎ,grammar,3
句子,jùzi,sentence,3
词语,cíyǔ,words; expressions,3
课文,kèwén,text of a lesson,3
考试,kǎoshì,exam; to test,2
成绩,chéngjì,grades; score; achievement,3
努力,nǔlì,hard-working; to make effort,3
认真,rènzhēn,serious; conscientious,3
聪明,cōngming,clever; smart,2
可爱,kě'ài,cute; lovely,3
热情,rèqíng,enthusiastic; warmth,3
诚实,chéngshí,honest,3
积极,jījí,positive; active; energetic,3
乐观,lèguān,optimistic,3
幽默,yōumò,humorous,3
骄傲,jiāo'ào,proud; arrogant,3
害羞,hàixiū,shy,3
紧张,jǐnzhāng,nervous; tense,3
害怕,hàipà,to be afraid of,3
生气,shēngqì,angry; to get angry,2
难过,nánguò,sad; hard to bear,3
伤心,shāngxīn,sad; broken-hearted,3
难受,nánshòu,uncomfortable; feel bad,3
痛苦,tòngkǔ,painful; suffering,3
轻松,qīngsōng,relaxed; easy,3
愉快,yúkuài,pleasant; happy,3
幸福,xìngfú,happy; blessed; happiness,3
方便,fāngbiàn,convenient,3
干净,gānjìng,clean,2
脏,zāng,dirty,3
暖和,nuǎnhuo,warm,3
凉快,liángkuai,cool (weather),3
感冒,gǎnmào,to catch a cold; cold,2
发烧,fāshāo,to have a fever,2
咳嗽,késou,to cough,3
治疗,zhìliáo,to treat; medical treatment,3
医院,yīyuàn,hospital,1
护士,hùshi,nurse,3
东西,dōngxi,things; stuff,1
苹果,píngguǒ,apple,1
飞机,fēijī,airplane,1
出租车,chūzūchē,taxi,1
因为,yīnwèi,because,2
所以,suǒyǐ,so; therefore,2
虽然,suīrán,although,2
但是,dànshì,but; however,2
如果,rúguǒ,if; in case,3
可是,kěshì,but; yet,2
因为什么,yīnwèishénme,for what reason,2
什么,shénme,what,1
时候,shíhou,time; moment,1
什么时候,shénmeshíhou,when; what time,1
地方,dìfang,place; area,3
早上,zǎoshang,morning,1
